GEOID20,route
060371031021002,222  
060371343033001,169  
060371319001002,169  
060371319002002,169  
060371319003001,169  
060374603011001,260  
060371236013010,167  
060371374011007,169  
060371204002001,158  
060371173031006,166  
060371237003001,154  
060373116011006,501  
060373116022006,155  
060374301012007,267  
060374642005011,267  
060374640004003,256  
060371834012000,83  
060372031001008,252  
060371999001013,251  
060374335053003,70  
060375323031027,258  
060374810021021,78  
060373007013001,90  
060373116012022,501  
060375426022001,125  
060376021051025,126  
060379800121007,117  
060371091002003,239  
060375002023004,120  
060371031025005,90  
060371093002016,237  
060371313001012,239  
060373106022009,92  
060378003241004,161  
060374801011005,487  
060378003252010,161  
060374632001013,267  
060374807031007,176  
060378003281013,161  
060372016022012,76  
060371994001010,252  
060371926101002,10  
060372092021011,18  
060372623032002,602  
060374819021014,70  
060372117012011,720  
060371032012011,90  
060371042042008,90  
060371312003007,239  
060371199003003,167  
060371197003001,158  
060373017021003,183  
060374623012006,804 
060373011003005,92  
060378003383000,161  
060373019011012,90  
060371397011006,150  
060374802012002,78  
060374317012004,487  
060374800023002,487  
060371920022004,10  
060372060201007,76  
060371433012000,155  
060374806023018,176  
060374801022003,78  
060374324023005,268  
060374815002003,76  
060371958041003,603  
060374809022012,76  
060371944011010,217  
060379800101004,96  
060374808021006,258  
060371994002012,83  
060371098001008,237  
060371998022004,45  
060375416043001,60  
060374627005008,180  
060374332001002,268  
060371114011016,236  
060374327002009,76  
060372148001002,14  
060374816062016,260  
060372015014005,78  
060372015012000,78  
060374329021007,176  
060372654101009,602  
060375704022008,60  
060375704022001,60  
060374613004028,687  
060371284003009,154  
060371044011006,224  
060379304003013,804 
060379304003080,804 
060373202012007,92  
060371061123009,234  
060379304002171,90  
060371066461002,239  
060371279201003,158  
060371276032002,165  
060372014021005,256  
060371173032010,152  
060371021071008,222  
060371221201006,152  
060371374021016,169  
060371439013006,218  
060375537013007,127  
060375530001001,128  
060371341042005,243  
060371341011000,152  
060371371041014,150  
060373108004003,183  
060374621003011,687  
060371032011000,90  
060371014002013,90  
060371013004004,90  
060371112041022,243  
060371279102005,163  
060374605023013,177  
060371284001008,154  
060371286013001,154  
060373111002000,222  
060374617001008,267  
060371252001009,237  
060374627005003,687  
060374806021001,176  
060374824031009,176  
060377007003014,20  
060374814013004,76  
060374809031007,76  
060371908012001,2  
060371851022008,83  
060371837021013,256  
060373101002006,92  
060371344212003,169  
060372411202003,45  
060371081023005,243  
060371172021001,237  
060371096043006,234  
060371064061002,236  
060372117012002,16  
060371112063005,158  
060371065103022,236  
060373011002005,90  
060374802011011,78  
060371439012003,218  
060371438022000,150  
060372111211006,201  
060374311002002,804 
060374614003005,180  
060372115002004,14  
060371895022003,207  
060371810001018,780  
060374307241000,267  
060374314004014,78  
060371113032000,239  
060371041241008,90  
060374622021012,180  
060373021043002,180  
060371374022001,169  
060371919011000,237  
060371852021012,81  
060374601011013,267  
060371281021000,164  
060373102023007,183  
060373005012014,90  
060371134241016,152  
060371132371029,166  
060372623011012,734  
060375519003007,460  
060371131012011,158  
060371096042000,158  
060374628001022,687  
060371414002003,150  
060374628002025,180  
060376007041012,115  
060376006021015,210  
060374046001023,804 
060374006022008,804 
060371041032002,233  
060371320011003,164  
060371274004000,169  
060372621003001,734  
060372060532000,30  
060372623031000,602  
060374327002028,268  
060371945001007,14  
060372141001007,14  
060374328023000,267  
060374601011006,267  
060379304002135,234  
060371097003010,158  
060371066041005,224  
060378002042002,169  
060378002023005,161  
060374642004005,487  
060374319003008,78  
060371991101004,252  
060374630001005,268  
060371112062008,239  
060374815003018,76  
060371192023015,158  
060374607004006,177  
060379304003252,804 
060371323011005,163  
060374607002008,268  
060373008004008,90  
060371276061003,164  
060371199002003,233  
060371342011004,245  
060371216001009,167  
060371943003003,218  
060371439011017,218  
060374811012007,78  
060372625013013,602  
060372075022018,910  
060372131001000,728  
060374816032014,76  
060378005061011,534  
060371898011006,2  
060372071021022,45  
060372110005007,210  
060371414002010,150  
060375514021001,115  
060371891021005,180  
060371893001006,207  
060373010003007,201  
060374008011011,804 
060373008004006,90  
060374625001006,268  
060378003381010,161  
060371246003001,155  
060371863023011,28  
060378003361005,161  
060374312002007,267  
060374044013000,804 
060372623031007,602  
060374336021013,70  
060372226001000,204  
060375317011009,260  
060372260011004,53  
060372128002000,28  
060372038002002,71  
060372085021001,16  
060371394021009,150  
060378003353022,161  
060373015011000,92  
060371243002010,152  
060371374012008,169  
060371954003000,175  
060371994002004,81  
060374325011009,487  
060375418013009,125  
060375325002011,108  
060375028014010,120  
060372073062000,53  
060371233032006,167  
060371237003004,154  
060371210103005,152  
060372086201007,14  
060374823031000,487  
060374810021010,78  
060374321024003,267  
060372132011004,28  
060372151012001,20  
060371041242004,233  
060375717043010,60  
060372060511038,66  
060371094001012,234  
060376042001005,120  
060376014021002,111  
060376021031010,40  
060376020022010,126  
060375027004023,62  
060371047013004,224  
060371132111007,166  
060371237002005,164  
060374611001009,687  
060374612001008,267  
060371810003006,180  
060379304001014,260  
060371153011013,167  
060371194003007,167  
060371352041012,169  
060373113001011,154  
060371193411004,233  
060374615013003,687  
060371253221006,183  
060373117006012,155  
060371833003009,83  
060371835101001,83  
060374308014002,487  
060374819014029,70  
060372016011011,76  
060377009022008,28  
060379304002077,234  
060373116024004,222  
060371330002002,163  
060374300042003,267  
060376008012021,115  
060376008023009,115  
060376010012004,211  
060374312002002,267  
060371861002006,685  
060374635002001,177  
060372651001010,20  
060372095102006,603  
060376016002001,211  
060374810013005,260  
060376212011009,232  
060371352042013,164  
060371210101000,230  
060371041051010,233  
060371192012007,233  
060372111221010,204  
060371908012004,2  
060375420001002,125  
060375426011000,202  
060375535042001,265  
060376703262030,344  
060372167002002,105  
060371021072012,92  
060372626042000,602  
060372346004018,607  
060372079012001,66  
060372283103008,51  
060377032002003,210  
060377012021000,20  
060371831041011,256  
060372626045008,602  
060372095101003,200  
060372246002019,45  
060375340022001,110  
060372352013003,111  
060375332043006,111  
060375759012012,801 
060375433063002,202  
060372221003001,207  
060371234101003,163  
060371021072009,222  
060377028021004,33  
060372766011011,115  
060375002025012,120  
060371412023002,150  
060374616004011,267  
060374317015007,268  
060372092021000,53  
060372060541011,30  
060372240102004,33  
060372080021010,14  
060372627062030,602  
060375027003001,62  
060375531002002,128  
060375763023016,232  
060372345023020,105  
060372352011008,111  
060376707011007,205  
060371042042002,90  
060375436051015,205  
060375410031032,51  
060371070202004,230  
060371066482003,224  
060373201022003,90  
060371132311007,152  
060372246002010,35  
060372699062003,733  
060372197003017,212  
060374824041004,68  
060372260022042,53  
060375763023013,60  
060375748002005,577  
060372212202000,33  
060372073051009,18  
060374824031014,176  
060375700034017,266  
060375025002008,266  
060371245002011,158  
060372400201015,10  
060375042001013,120  
060372430021007,117  
060376701011025,205  
060371242012008,154  
060371323021003,165  
060374641024019,78  
060374324011005,487  
060376021051017,211  
060375409024001,45  
060376010022015,40  
060375402033002,120  
060375401011009,260  
060376042003005,120  
060372379004010,209  
060372755003008,108  
060375326075013,110  
060372732003000,33  
060375361043012,117  
060372404021004,117  
060375338052002,611  
060372396022005,45  
060376009111007,110  
060376035002008,210  
060374605011007,177  
060377023004001,806 
060371094003005,234  
060371114021002,236  
060377010004009,28  
060379800281094,117  
060376209041027,126  
060372283202002,10  
060375319021014,18  
060372324022000,105  
060372721002012,733  
060372392023001,10  
060375026041005,62  
060376010012022,40  
060375027004016,120  
060375031032006,120  
060375424023010,60  
060372947013001,246  
060374006053013,804 
060371252003009,155  
060375722023002,801 
060375009003009,266  
060377021024000,733  
060375514023003,115  
060375329002002,53  
060372764005007,115  
060376022011010,625  
060375031032008,120  
060375440022011,202  
060376500015002,210  
060376209043009,232  
060376210056024,130  
060375730021007,60  
060375754022013,232  
060376703263012,344  
060379800111050,232  
060379800311043,910  
060372970022015,550  
060374603014021,267  
060371224201009,224  
060374807043007,258  
060372376001001,81  
060371913011002,2  
060372089031001,18  
060372051202004,62  
060372675031001,704  
060372217101002,200  
060372345012015,209  
060372431001005,612  
060375008003008,266  
060372770002003,115  
060375538022023,128  
060375421053002,260  
060375551071004,62  
060376212012019,232  
060376210051013,232  
060376513026013,232  
060375722021015,801 
060377004003010,10  
060374820023000,258  
060371047013001,233  
060372422011001,254  
060372373003006,111  
060376008012002,209  
060372770005009,115  
060372412025006,204  
060375522004023,460  
060375547001008,128  
060376206024002,130  
060375705023010,265  
060377010005008,28  
060371094003009,234  
060374306001003,268  
060371211022011,152  
060372703001010,780  
060375433043004,205  
060375722022004,801 
060376706042000,550  
060375410031012,51  
060372395022003,10  
060376007031009,115  
